"school","ls_county","p_county"
"A D OLIVER MIDDLE SCHOOL",0.198791778223473,0.0073689930313921
"A M COSGROVE MIDDLE SCHOOL",0.197626582184629,0.00789330689520396
"ALLEN CREEK SCHOOL",0.276979578983746,0.00354626831523656
"ARCADIA HIGH SCHOOL",0.0355553317069779,0.0103909474828168
"ARCADIA MIDDLE SCHOOL",0.0459371433903588,0.00737852601073413
"ATHENA HIGH SCHOOL",0.0364809856681824,0.0106674038837358
"ATHENA MIDDLE SCHOOL",0.026745294167138,0.00746432282481244
"AUTUMN LANE ELEMENTARY SCHOOL",0.0751674869389817,0.00276456400918979
"BARCLAY ELEMENTARY SCHOOL",0.226687128537965,0.00439470347667757
"BARKER ROAD MIDDLE SCHOOL",0.284435099035709,0.00678748129152804
"BAY TRAIL MIDDLE SCHOOL",0.207608439881192,0.0103242166274226
"BRIARWOOD SCHOOL",0.22088458959057,0.00161107350880371
"BRIGHTON HIGH SCHOOL",0.162471870562319,0.0111631188095215
"BROCKPORT HIGH SCHOOL",0.205777337792673,0.0100096283091355
"BROOKS HILL SCHOOL",0.288578455758997,0.00613923869626974
"BROOKSIDE ELEMENTARY SCHOOL CAMPUS",0.0590015504304873,0.00348907043918436
"BROOKVIEW SCHOOL",0.0750941928362779,0.0013822820045949
"BUCKMAN HEIGHTS ELEMENTARY SCHOOL",0.0519558508694531,0.00345093852181622
"CALKINS ROAD MIDDLE SCHOOL",0.246464928740888,0.00636803020047856
"CANAL VIEW ELEMENTARY SCHOOL",0.200223580784915,0.00464256093957044
"CHARLES H ROTH MIDDLE SCHOOL",0.0622138485785602,0.0058151173986406
"CHESTNUT RIDGE ELEMENTARY SCHOOL",0.102687754543412,0.0051954737414084
"CHURCHVILLE ELEMENTARY SCHOOL",0.21558303203368,0.00370832896405113
"CHURCHVILLE-CHILI MIDDLE SCHOOL",0.157616015334066,0.0113633113757042
"CHURCHVILLE-CHILI SENIOR HIGH SCHOOL",0.173991861129304,0.0115158390451768
"COBBLES ELEMENTARY SCHOOL",0.244438966129232,0.00533846843153891
"COLEBROOK SCHOOL",0.243016744092183,0.0015538756327515
"COUNCIL ROCK PRIMARY SCHOOL",0.222530870578256,0.00653009084929313
"CRAIG HILL ELEMENTARY SCHOOL",0.0622993158327422,0.00289802571997826
"DAKE JUNIOR HIGH SCHOOL",0.0729516525126591,0.00518594076206637
"DAVID B CRANE ELEMENTARY SCHOOL",0.306263331082045,0.00338420766642199
"DEWITT ROAD ELEMENTARY SCHOOL",0.269889685271127,0.00502388011325179
"DISCOVERY CHARTER SCHOOL",0.643280707286154,0.00263110229840132
"DR WALTER COOPER ACADEMY",0.779887709878311,0.00322214701760741
"DUDLEY SCHOOL",0.320218998909061,0.00597717804745517
"DURAND-EASTMAN INTERMEDIATE SCHOOL",0.0880010968631658,0.00349860341852639
"EAST HIGH SCHOOL",0.524469260314264,0.00637756317982059
"EAST IRONDEQUOIT MIDDLE SCHOOL",0.0570586905634184,0.00639662913850466
"EAST LOWER SCHOOL",0.528359610662279,0.00348907043918436
"EAST ROCHESTER ELEMENTARY SCHOOL",0.206678756060478,0.00406104919970638
"EAST ROCHESTER JUNIOR-SENIOR HIGH SCHOOL",0.117197291257694,0.00476648967101688
"EASTRIDGE SENIOR HIGH SCHOOL",0.028482260001553,0.00903726441624801
"EMMA E SHERMAN ELEMENTARY SCHOOL",0.129910164161587,0.00563399079114196
"ENGLISH VILLAGE ELEMENTARY SCHOOL",0.098003051601611,0.00396571940628605
"ETHEL K FYLE ELEMENTARY SCHOOL",0.196326274797027,0.00391805450957588
"EUGENIO MARIA DE HOSTOS CHARTER SCHOOL",1.12353248917088,0.00773124624638938
"EXPLORATION ELE CS - SCIENCE-TECHNOL",0.805829053736173,0.00197332672380099
"FAIRBANKS ROAD ELEMENTARY SCHOOL",0.308498494470316,0.00459489604286028
"FAIRPORT SENIOR HIGH SCHOOL",0.274502886249054,0.0134319678929256
"FLORENCE BRASSER SCHOOL",0.0664423237131629,0.00366066406734097
"FLOYD S WINSLOW ELEMENTARY SCHOOL",0.140083189225751,0.00419451091049486
"FRED W HILL SCHOOL",0.209953681836536,0.00445190135272977
"FRENCH ROAD ELEMENTARY SCHOOL",0.182769378780407,0.00780751008112565
"GATES-CHILI HIGH SCHOOL",0.0193782541289807,0.0124596040000381
"GATES-CHILI MIDDLE SCHOOL",0.0458299978631856,0.00785517497783582
"GENESEE COMMUNITY CHARTER SCHOOL",0.0324740206389678,0.00210678843458946
"GINTHER ELEMENTARY SCHOOL",0.228416310270742,0.00447096731141384
"HARRIS HILL ELEMENTARY SCHOOL",0.333801223483708,0.0043184396419413
"HELENDALE ROAD PRIMARY SCHOOL",0.0618560403672671,0.00305055338945081
"HENRY V BURGER MIDDLE SCHOOL",0.106207060075226,0.00563399079114196
"HILTON HIGH SCHOOL",0.309232569448123,0.0142041392196303
"HOLMES ROAD ELEMENTARY SCHOOL",0.0544543373568048,0.00310775126550301
"HONEOYE FALLS-LIMA MIDDLE SCHOOL",0.390398851312764,0.00478555562970095
"HONEOYE FALLS-LIMA SENIOR HIGH SCHOOL",0.404907368714589,0.00700673981639482
"INDIAN LANDING ELEMENTARY SCHOOL",0.256824067583944,0.00474742371233282
"INTEGRATED ARTS AND TECHNOLOGY HIGH SCHOOL",0.507443627049332,0.00775031220507345
"IRONDEQUOIT HIGH SCHOOL",0.062872914876536,0.0112584486029419
"IROQUOIS MIDDLE SCHOOL",0.130292035750059,0.00398478536497011
"IVAN L GREEN PRIMARY SCHOOL",0.0418283279215054,0.00336514170773792
"JAMES MONROE HIGH SCHOOL",0.795397979889992,0.00786470795717786
"JEFFERSON AVENUE SCHOOL",0.30825879393903,0.00599624400613924
"JEFFERSON ROAD SCHOOL",0.284278396414733,0.00335560872839589
"JOHANNA PERRIN MIDDLE SCHOOL",0.256534063469246,0.00585324931600873
"JOSEPH C WILSON FOUNDATION ACADEMY",0.686719118679152,0.00558632589443179
"JOSEPH C WILSON MAGNET HIGH SCHOOL",0.602569221490406,0.00737852601073413
"KLEM ROAD NORTH ELEMENTARY SCHOOL",0.29360063642209,0.00462349498088638
"KLEM ROAD SOUTH ELEMENTARY SCHOOL",0.188996183163682,0.00496668223719959
"LAKESHORE ELEMENTARY SCHOOL",0.0501070504460241,0.00406104919970638
"LAURELTON-PARDEE INTERMEDIATE SCHOOL",0.0540718468700445,0.00321261403826538
"LEADERSHIP ACADEMY FOR YOUNG MEN",0.615530908561807,0.00542426524561721
"LEO BERNABI SCHOOL",0.265107230659018,0.00417544495181079
"LIMA ELEMENTARY SCHOOL",0.395931728382045,0.00283129486458403
"LISTWOOD SCHOOL",0.305096995947427,0.0015252766947254
"LONGRIDGE SCHOOL",0.0764559159814251,0.00754058665954871
"MANOR INTERMEDIATE SCHOOL",0.41004653159882,0.00574838654324636
"MARTHA BROWN MIDDLE SCHOOL",0.234151528876827,0.00673028341547584
"MARY K VOLLMER ELEMETNARY SCHOOL",0.126241678311902,0.00612970571692771
"MENDON CENTER ELEMENTARY SCHOOL",0.463734919676464,0.00748338878349651
"MERTON WILLIAMS MIDDLE SCHOOL",0.305204592607304,0.00659682170468737
"MINERVA DELAND SCHOOL",0.285007077370975,0.00414684601378469
"MONICA B LEARY ELEMENTARY SCHOOL",0.218737364988779,0.00402291728233825
"NEIL ARMSTRONG SCHOOL",0.0411158809136718,0.00387038961286571
"NORTHEAST COLLEGE PREPARATORY HIGH SCHOOL",0.677671189435458,0.00541473226627518
"NORTHSIDE SCHOOL",0.287094879528514,0.00605344188219144
"NORTHWEST COLLEGE PREPARATORY HIGH SCHOOL",0.661588328733749,0.00248810760827081
"NORTHWOOD ELEMENTARY SCHOOL",0.304479880763349,0.0081030324407287
"ODYSSEY ACADEMY",0.0214671881795494,0.00981896872229478
"OLYMPIA HIGH SCHOOL",0.00644460972721732,0.010152622999266
"PADDY HILL ELEMENTARY SCHOOL",0.131577771041636,0.00534800141088094
"PARK ROAD SCHOOL",0.277735824658833,0.00399431834431215
"PAUL ROAD SCHOOL",0.0732151617332182,0.00374646088141927
"PENFIELD SENIOR HIGH SCHOOL",0.230764307779878,0.0131269125539805
"PINE BROOK ELEMENTARY SCHOOL",0.119054007447267,0.00534800141088094
"PITTSFORD SUTHERLAND HIGH SCHOOL",0.260879066109911,0.00885613780874937
"PITTSFORD-MENDON HIGH SCHOOL",0.263174313476173,0.00987616659834698
"PLANK ROAD NORTH ELEMENTARY SCHOOL",0.200787612879528,0.00499528117522569
"PLANK ROAD SOUTH ELEMENTARY SCHOOL",0.236405069255922,0.00575791952258839
"PUC ACHIEVE CHARTER SCHOOL",0.801266410725114,0.00352720235655249
"QUEST ELEMENTARY SCHOOL",0.341325703629146,0.00395618642694401
"RENAISSANCE ACADEMY CHARTER SCHOOL OF THE ARTS",0.652364501210839,0.00416591197246876
"RISE COMMUNITY SCHOOL",0.446242348874453,0.00307915232747691
"ROBERT BROWN SCHOOL OF CONSTRUCTION AND DESIGN",0.591139542195433,0.0174739511339479
"ROCHESTER ACADEMY CHARTER SCHOOL",0.703258671896775,0.005081077989304
"ROCHESTER EARLY COLLEGE INTERNATIONAL HIGH SCHOOL",0.535821925574396,0.00312681722418708
"ROCHESTER PREP CHARTER SCHOOL 3",0.945024631995136,0.00250717356695488
"ROGERS MIDDLE SCHOOL",0.0570508434297565,0.0044042364560196
"RUSH-HENRIETTA SENIOR HIGH SCHOOL",0.122402867008442,0.0118971582188581
"SCHLEGEL ROAD ELEMENTARY SCHOOL",0.165088732744032,0.00394665344760198
"SCHOOL 12-JAMES P B DUFFY",0.454013205257667,0.00766451539099515
"SCHOOL 15-CHILDREN'S SCHOOL OF ROCHESTER (THE)",0.382555572772635,0.00294569061668843
"SCHOOL 16-JOHN WALTON SPENCER",0.89789815588945,0.00340327362510605
"SCHOOL 17-ENRICO FERMI",0.734567017070283,0.00531940247285484
"SCHOOL 19-DR CHARLES T LUNSFORD",0.829699969308369,0.00298382253405657
"SCHOOL 2-CLARA BARTON",0.84763353542816,0.00266923421576945
"SCHOOL 20-HENRY LOMB SCHOOL",0.706752575588547,0.00328887787300165
"SCHOOL 22-LINCOLN SCHOOL",0.878147868790049,0.00551959503903755
"SCHOOL 23-FRANCIS PARKER",0.107188592054157,0.00300288849274064
"SCHOOL 25-NATHANIEL HAWTHORNE",0.536396167516192,0.00298382253405657
"SCHOOL 28-HENRY HUDSON",0.853052112567081,0.00626316742771618
"SCHOOL 29-ADLAI E STEVENSON",0.651180367743034,0.00289802571997826
"SCHOOL 3-NATHANIEL ROCHESTER",0.76949309655145,0.00436610453865146
"SCHOOL 33-AUDUBON",0.657230438579435,0.0100382272471616
"SCHOOL 34-DR LOUIS A CERULLI",0.412891802369731,0.00425170878654706
"SCHOOL 35-PINNACLE",0.610980470679784,0.00448050029075587
"SCHOOL 39-ANDREW J TOWNSON",0.624039450694197,0.00495714925785756
"SCHOOL 4-GEORGE MATHER FORBES",0.68845108495009,0.00400385132365418
"SCHOOL 42-ABELARD REYNOLDS",0.258926792602514,0.00438517049733553
"SCHOOL 43-THEODORE ROOSEVELT",0.429122052693447,0.00432797262128333
"SCHOOL 44-LINCOLN PARK",0.772782355042813,0.00200192566182709
"SCHOOL 45-MARY MCLEOD BETHUNE",0.673203442674869,0.00502388011325179
"SCHOOL 46-CHARLES CARROLL",0.258137049513161,0.00295522359603047
"SCHOOL 5-JOHN WILLIAMS",0.419470895878853,0.00610110677890161
"SCHOOL 50-HELEN BARRETT MONTGOMERY",0.438480575616627,0.00629176636574229
"SCHOOL 52-FRANK FOWLER DOW",0.277520357940357,0.0029647565753725
"SCHOOL 53 MONTESSORI ACADEMY",0.5160490936893,0.00219258524866777
"SCHOOL 54-FLOWER CITY COMMUNITY SCHOOL",0.631243201956011,0.00379412577812944
"SCHOOL 57-EARLY CHILDHOOD SCHOOL",0.60358744777977,0.00150621073604134
"SCHOOL 58-WORLD OF INQUIRY SCHOOL",0.520389574874033,0.00867501120125073
"SCHOOL 7-VIRGIL GRISSOM",0.521180659219914,0.00448050029075587
"SCHOOL 8-ROBERTO CLEMENTE",0.677556739273447,0.00450909922878197
"SCHOOL 9-DR MARTIN LUTHER KING JR",1.09461124746588,0.00651102489060906
"SCHOOL OF THE ARTS",0.274748658859067,0.0108008655945243
"SCHOOL WITHOUT WALLS",0.496382559414981,0.00255483846366505
"SCRIBNER ROAD ELEMENTARY SCHOOL",0.263909805048553,0.00548146312166942
"SENECA SCHOOL",0.244742308164236,0.00170640330222404
"SOUTHLAWN SCHOOL",0.09648454321682,0.00209725545524743
"SPENCERPORT HIGH SCHOOL",0.212349936904491,0.0109247943259707
"SPRY MIDDLE SCHOOL",0.196187158095115,0.00900866547822191
"STATE ROAD ELEMENTARY SCHOOL",0.260187152972725,0.00496668223719959
"T J CONNOR ELEMENTARY SCHOOL",0.131686363765721,0.00284082784392606
"TERRY TAYLOR ELEMENTARY SCHOOL",0.233716275580806,0.00362253214997283
"THOMAS HIGH SCHOOL",0.316155580913798,0.0125930657108266
"THORNELL ROAD SCHOOL",0.327687710145807,0.00401338430299622
"TRUE NORTH ROCHESTER PREP CHARTER SCHOOL-WEST CAMPUS",0.884898269711256,0.00784564199849379
"TRUE NORTH ROCHESTER PREPARATORY CHARTER SCHOOL (THE)",0.971511411669444,0.0110963879541273
"TWELVE CORNERS MIDDLE SCHOOL",0.20400519165622,0.00893240164348564
"UNIVERSITY PREPARATORY CHARTER SCHOOL FOR YOUNG MEN",0.8347754951193,0.00335560872839589
"URBAN CHOICE CHARTER SCHOOL",0.727395184595284,0.00377505981944537
"VANGUARD COLLEGIATE HIGH SCHOOL",0.61461279925881,0.00591044719206093
"VERTUS CHARTER SCHOOL",0.779450483234764,0.00267876719511149
"VILLAGE ELEMENTARY SCHOOL",0.305536180332823,0.0088370718500653
"WALT DISNEY SCHOOL",0.0342781662067266,0.00427077474523113
"WEBSTER-SCHROEDER HIGH SCHOOL",0.222702957994473,0.0128695221117456
"WEST RIDGE ELEMENTARY SCHOOL",0.12458013190343,0.00253577250498098
"WHEATLAND-CHILI HIGH SCHOOL",0.0721324358074647,0.00326981191431758
"WILLIAM C MUNN SCHOOL",0.0959851209654978,0.00349860341852639
"WILLINK MIDDLE SCHOOL",0.27798682034304,0.00931372081716699
"YOUNG WOMEN'S COLLEGE PREP CHARTER",0.510131805473853,0.00339374064576402
