"school","ls_dist","p_dist","dist"
"Success Academy Charter School - Hudson Yards",0.0808882774850846,0.00487689393939394,2
"Success Academy Hell's Kitchen (Manhattan 2)",0.119860112842819,0.00680239898989899,2
"Success Academy Union Square (Manhattan 1)",0.0207155509580366,0.0129261363636364,2
"Harlem Hebrew Language Charter School",0.256297349975421,0.0206762441463608,3
"New York French American Charter School",0.426519148898528,0.0126597348995952,3
"Success Academy Charter School - Harlem 1",0.567413256311176,0.0522263671719978,3
"Success Academy Charter School - Harlem 4",0.376170468248946,0.0163505040082546,3
"Success Academy Charter School - Upper West",0.0259811316900304,0.034367806968807,3
"Success Academy Charter School - Harlem 3",0.224723471462784,0.0894272801363266,4
"Success Academy Charter School - Harlem 2",0.0480677335697103,0.0588778767008231,5
"Success Academy Charter School - Harlem 5",0.0588325187399007,0.0679489333109357,5
"Success Academy Charter School - Harlem 6",0.0412346279003178,0.0268772047707038,5
"Success Academy Charter School - Washington Height",0.0173335609083128,0.0252559397334364,6
"Success Academy Charter School - Bronx 1",0.227846541328726,0.0310531792540665,7
"Success Academy Charter School - Bronx 4 - New Yor",0.130006501204897,0.0238500851788756,8
"Success Academy Charter School - Bronx 2",0.224240427518717,0.026076890269908,9
"Success Academy Charter School - Bronx 3",0.132902433262032,0.0308901480533723,9
"Brooklyn Prospect Charter School",0.241824028922933,0.0300179594629265,13
"Community Roots Charter School",0.241558634755616,0.0202685367313777,13
"Compass Charter School",0.312611508016326,0.0141110065851364,13
"Success Academy Charter School - South Jamaica",0.195959392445282,0.0164200803899769,13
"Success Academy Fort Greene (Brooklyn 5)",0.30999002267159,0.0110750021380313,13
"The International Charter School of New York",0.162359834965108,0.0179167023005217,13
"Success Academy Charter School - Bed Stuy 3",0.30760068063566,0.00457437299542563,14
"Success Academy Charter School - Bed-Stuy 1",0.447064155119933,0.0388558809611441,14
"Success Academy Charter School - Bed-Stuy 2",0.431208965997003,0.0165098059834902,14
"Success Academy Charter School - Williamsburg",0.00771882697192416,0.0235028129764972,14
"Brooklyn Prospect Charter School Downtown",0.243517644055215,0.0201535508637236,15
"Brooklyn Urban Garden Charter School",0.138096896544582,0.00899712092130518,15
"Hellenic Classical Charter School",0.0881457239500139,0.0154750479846449,15
"Success Academy Charter School - Cobble Hill",0.0896539079165449,0.0126259596928983,15
"Success Academy Charter School - Flatbush",0.0855278829354488,0.0220724048762468,17
"Success Academy Crown Heights (Brooklyn 7)",0.037180312189338,0.032323605467307,17
"Success Academy Prospect Heights (Brooklyn 6)",0.00471128173398232,0.0258588843738456,17
"Hebrew Language Academy Charter School 2",0.226901722295276,0.00753093060785368,21
"Hebrew Language Academy Charter School",0.340862509248583,0.0190531345012306,22
"Success Academy Charter School - Bergen Beach - Ne",0.557569785391966,0.0205588533371941,22
"Central Queens Academy Charter School",0.149116037291385,0.00725305905302359,24
"Success Academy Charter School - Far Rockaway",0.678779706350227,0.0118088860736585,27
"Success Academy Charter School - Rosedale - New Yo",0.205766544791303,0.0215634455551725,29
"Success Academy Charter School - Springfield Garde",0.22140387685951,0.0316366004059903,29
"Academy of the City Charter School",0.00629031154845183,0.0137693185354216,30
"Success Academy Charter School - Bushwick",0.0186190423934684,0.0431178990501024,32
