"school_name","county","total","n_amind","n_asian","n_black","n_hisp","n_white","n_multi","n_ed","n_ell","n_swd"
"ACADEMY OF THE CITY CHARTER SCHOOL","QUEENS",411,1,92,33,218,67,0,291,40,51
"BROOKLYN PROSPECT CHARTER SCHOOL","KINGS",773,1,66,77,271,322,36,340,17,160
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","KINGS",286,0,9,103,116,42,16,187,11,76
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","QUEENS",420,1,71,45,285,18,0,360,38,38
"COMMUNITY ROOTS CHARTER SCHOOL","KINGS",473,0,25,127,81,201,39,147,7,115
"COMPASS CHARTER SCHOOL","KINGS",300,2,20,83,36,133,26,88,9,82
"ELMWOOD VILLAGE CHARTER - HERTEL","ERIE",201,1,12,74,32,57,25,131,10,43
"ELMWOOD VILLAGE CHARTER SCHOOL","ERIE",449,3,5,112,80,204,45,240,7,66
"GENESEE COMMUNITY CHARTER SCHOOL","MONROE",221,1,6,57,17,129,11,79,2,22
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","NEW YORK",494,1,4,191,195,98,5,355,40,116
"HEBREW LANGUAGE ACADEMY CHARTER 2","KINGS",233,0,12,49,27,136,9,183,55,71
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","KINGS",720,1,12,403,38,260,6,498,37,141
"HELLENIC CLASSICAL CHARTER SCHOOL","KINGS",477,9,17,69,218,152,12,261,12,51
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","NEW YORK",282,1,7,180,59,27,8,200,62,37
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST","KINGS",508,0,81,54,66,301,6,289,49,79
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4","BRONX",548,8,14,243,268,10,5,422,26,113
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD","QUEENS",643,11,10,569,37,2,14,466,2,88
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2","KINGS",346,8,6,219,98,6,9,287,5,74
"SUCCESS ACADEMY CHARTER SCHOOL-BEDFORD STUYVESANT 1","KINGS",760,3,16,506,209,15,11,592,14,146
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","BRONX",588,7,15,330,230,2,4,524,29,92
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","BRONX",754,3,8,474,257,10,2,667,50,112
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","BRONX",637,12,4,344,265,4,8,532,15,112
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL","KINGS",333,1,30,92,105,88,17,186,17,51
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","KINGS",630,10,3,548,49,7,13,497,6,95
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE","KINGS",291,2,4,182,88,13,2,229,17,56
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","NEW YORK",1223,90,16,824,266,18,9,952,21,172
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","NEW YORK",707,4,7,463,217,15,1,586,24,136
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3","NEW YORK",1110,111,18,584,365,19,13,857,26,223
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 4","NEW YORK",425,6,10,228,152,14,15,317,27,64
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 5","NEW YORK",746,7,9,504,197,14,15,616,42,116
"SUCCESS ACADEMY CHARTER SCHOOL-HELL'S KITCHEN","NEW YORK",462,1,83,96,202,69,11,303,20,77
"SUCCESS ACADEMY CHARTER SCHOOL-NYC 4","QUEENS",407,6,5,309,74,9,4,334,6,82
"SUCCESS ACADEMY CHARTER SCHOOL-NYC 8","KINGS",337,1,4,303,20,5,4,254,9,34
"SUCCESS ACADEMY CHARTER SCHOOL-PROSPECT HEIGHTS","KINGS",629,4,19,475,102,27,2,450,7,102
"SUCCESS ACADEMY CHARTER SCHOOL-UNION SQUARE","NEW YORK",720,9,142,150,202,184,33,324,19,137
"SUCCESS ACADEMY CHARTER SCHOOL-UPPER WEST","NEW YORK",790,4,99,160,298,200,29,377,23,152
"SUCCESS ACADEMY CHARTER SCHOOL-WILLIAMSBURG","KINGS",434,5,21,97,243,57,11,280,28,78
